Treebank,Encoding,Language Model,In training data,Random,Task,UAS,LAS,CLAS,MLAS,BLEX,POS,1-deptag,Arc,1-plane,2-plane,Deprel
UD_Armenian-ArmTDP,rel-pos,xlm-roberta-base,True,False,single,45.78,35.42,27.4,1.19,0.0,78.99,43.9,nan,nan,nan,nan
UD_Turkish-BOUN,rel-pos,xlm-roberta-base,True,True,single,21.78,14.15,8.02,1.56,0.0,66.16,36.18,nan,nan,nan,nan
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,False,True,single,20.39,11.28,4.1,0.93,0.0,52.51,29.24,nan,nan,nan,nan
UD_Armenian-ArmTDP,rel-pos,xlm-roberta-base,True,False,multi,51.61,38.08,31.58,1.8,0.0,78.92,nan,51.87,nan,nan,67.7
UD_Turkish-BOUN,rel-pos,xlm-roberta-base,True,True,multi,27.95,15.67,9.84,1.59,0.0,66.03,nan,44.16,nan,nan,52.86
UD_Turkish-BOUN,rel-pos,bert-base-multilingual-cased,True,False,single,55.6,46.71,41.95,5.65,0.0,86.1,53.87,nan,nan,nan,nan
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,False,True,multi,19.87,10.65,4.79,1.13,0.0,53.47,nan,38.57,nan,nan,41.38
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,False,True,single,19.29,9.45,4.43,0.27,0.0,49.96,26.47,nan,nan,nan,nan
UD_Turkish-BOUN,rel-pos,bert-base-multilingual-cased,True,False,multi,55.49,44.89,40.79,5.41,0.0,86.23,nan,58.51,nan,nan,74.73
UD_Vietnamese-VTB,rel-pos,bert-base-multilingual-cased,True,True,single,23.9,15.76,10.91,6.32,0.0,67.69,34.52,nan,nan,nan,nan
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,False,True,multi,18.38,10.03,5.62,1.12,0.0,50.26,nan,34.17,nan,nan,42.04
UD_Turkish-BOUN,rel-pos,xlm-roberta-base,True,False,single,52.68,43.8,39.49,5.55,0.0,86.12,51.48,nan,nan,nan,nan
UD_Vietnamese-VTB,rel-pos,bert-base-multilingual-cased,True,True,multi,23.61,13.93,10.16,5.16,0.0,67.67,nan,40.67,nan,nan,50.23
UD_Vietnamese-VTB,rel-pos,xlm-roberta-base,True,True,single,23.32,14.06,9.91,5.51,0.0,66.28,33.94,nan,nan,nan,nan
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,False,False,single,31.0,21.02,10.33,1.39,0.0,68.95,34.39,nan,nan,nan,nan
UD_Turkish-BOUN,rel-pos,xlm-roberta-base,True,False,multi,56.26,45.56,42.59,5.56,0.0,86.07,nan,57.01,nan,nan,74.4
UD_Vietnamese-VTB,rel-pos,xlm-roberta-base,True,True,multi,23.89,13.87,10.01,4.84,0.0,66.12,nan,41.39,nan,nan,49.4
UD_Basque-BDT,rel-pos,bert-base-multilingual-cased,True,True,single,26.45,18.66,13.83,1.22,0.0,66.97,39.15,nan,nan,nan,nan
UD_Ligurian-GLT,rel-pos,bert-base-multilingual-cased,False,False,multi,36.47,24.38,11.93,1.64,0.0,70.27,nan,47.49,nan,nan,53.74
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,False,False,single,4.51,2.02,1.75,0.0,0.0,35.75,7.12,nan,nan,nan,nan
UD_Basque-BDT,rel-pos,bert-base-multilingual-cased,True,True,multi,26.45,16.71,12.39,0.8,0.0,66.94,nan,46.68,nan,nan,55.79
UD_Vietnamese-VTB,rel-pos,bert-base-multilingual-cased,True,False,single,48.86,37.21,34.07,23.41,0.0,84.36,47.57,nan,nan,nan,nan
UD_Basque-BDT,rel-pos,xlm-roberta-base,True,True,single,24.76,17.64,13.31,1.15,0.01,65.57,38.51,nan,nan,nan,nan
UD_Ligurian-GLT,rel-pos,xlm-roberta-base,False,False,multi,24.57,3.17,0.83,0.0,0.0,39.05,nan,25.59,nan,nan,12.01
UD_Bhojpuri-BHTB,rel-pos,bert-base-multilingual-cased,False,True,single,25.19,16.56,7.31,0.15,0.0,53.44,27.92,nan,nan,nan,nan
UD_Basque-BDT,rel-pos,xlm-roberta-base,True,True,multi,25.06,16.15,12.12,0.95,0.01,65.56,nan,45.3,nan,nan,55.34
UD_Vietnamese-VTB,rel-pos,bert-base-multilingual-cased,True,False,multi,48.55,34.66,31.37,21.59,0.0,84.51,nan,55.26,nan,nan,64.94
UD_Bhojpuri-BHTB,rel-pos,bert-base-multilingual-cased,False,True,multi,16.67,12.3,5.62,0.07,0.0,53.06,nan,40.25,nan,nan,47.32
UD_Bhojpuri-BHTB,rel-pos,xlm-roberta-base,False,True,single,22.9,16.35,6.98,0.15,0.0,48.42,28.49,nan,nan,nan,nan
UD_Vietnamese-VTB,rel-pos,xlm-roberta-base,True,False,single,35.01,25.69,23.01,14.73,0.0,75.04,38.68,nan,nan,nan,nan
UD_Kiche-IU,rel-pos,bert-base-multilingual-cased,False,True,single,49.44,36.32,21.67,4.41,0.0,73.54,56.92,nan,nan,nan,nan
UD_Bhojpuri-BHTB,rel-pos,xlm-roberta-base,False,True,multi,17.41,11.98,5.21,0.14,0.0,51.2,nan,39.1,nan,nan,45.22
UD_Vietnamese-VTB,rel-pos,xlm-roberta-base,True,False,multi,39.38,27.48,25.58,16.34,0.0,74.64,nan,49.15,nan,nan,59.43
UD_Basque-BDT,rel-pos,bert-base-multilingual-cased,True,False,single,58.66,49.91,46.31,7.41,0.0,88.85,59.02,nan,nan,nan,nan
UD_Kiche-IU,rel-pos,bert-base-multilingual-cased,False,True,multi,49.64,36.94,23.54,4.79,0.0,74.06,nan,64.84,nan,nan,67.42
UD_Kiche-IU,rel-pos,xlm-roberta-base,False,True,single,47.51,34.23,20.63,4.08,0.0,73.77,54.93,nan,nan,nan,nan
UD_Kiche-IU,rel-pos,xlm-roberta-base,False,True,multi,47.12,34.75,22.85,4.16,0.0,73.49,nan,63.82,nan,nan,65.25
UD_Basque-BDT,rel-pos,bert-base-multilingual-cased,True,False,multi,57.09,46.28,43.18,6.66,0.01,88.95,nan,63.47,nan,nan,76.3
UD_Basque-BDT,rel-pos,xlm-roberta-base,True,False,single,53.82,44.48,40.68,6.22,0.0,85.85,52.93,nan,nan,nan,nan
UD_Bhojpuri-BHTB,rel-pos,bert-base-multilingual-cased,False,False,single,27.37,19.28,9.09,0.16,0.0,55.74,29.45,nan,nan,nan,nan
UD_Basque-BDT,rel-pos,xlm-roberta-base,True,False,multi,54.78,43.29,40.7,5.53,0.01,85.74,nan,59.35,nan,nan,73.16
UD_Bhojpuri-BHTB,rel-pos,bert-base-multilingual-cased,False,False,multi,31.9,20.66,10.6,0.45,0.0,58.41,nan,44.74,nan,nan,51.29
UD_Bhojpuri-BHTB,rel-pos,xlm-roberta-base,False,False,single,26.46,6.76,1.73,0.0,0.0,42.73,14.44,nan,nan,nan,nan
UD_Kiche-IU,rel-pos,bert-base-multilingual-cased,False,False,single,50.98,37.14,23.85,5.41,0.0,78.12,57.05,nan,nan,nan,nan
UD_Bhojpuri-BHTB,rel-pos,xlm-roberta-base,False,False,multi,31.79,4.85,3.73,0.12,0.0,41.25,nan,26.91,nan,nan,27.87
UD_Kiche-IU,rel-pos,bert-base-multilingual-cased,False,False,multi,54.78,39.79,27.39,5.73,0.0,77.78,nan,64.45,nan,nan,68.77
UD_Kiche-IU,rel-pos,xlm-roberta-base,False,False,single,44.96,27.36,14.03,0.83,0.0,64.73,47.73,nan,nan,nan,nan
UD_Kiche-IU,rel-pos,xlm-roberta-base,False,False,multi,45.68,27.75,15.18,0.97,0.0,64.94,nan,58.3,nan,nan,56.54
UD_Guajajara-TuDeT,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,single,47.56,26.39,22.45,2.01,0.0,65.23,46.41,nan,nan,nan,nan
UD_Guajajara-TuDeT,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,multi,47.56,34.29,29.25,4.01,0.0,64.44,nan,nan,62.88,96.99,63.4
UD_Guajajara-TuDeT,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,single,48.24,29.41,20.8,0.24,0.0,64.58,48.1,nan,nan,nan,nan
UD_Guajajara-TuDeT,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,multi,45.55,27.9,23.32,2.16,0.0,67.32,nan,nan,60.65,96.86,60.92
UD_Guajajara-TuDeT,relative,bert-base-multilingual-cased,False,True,single,46.05,24.71,18.06,0.0,0.0,63.66,40.52,nan,nan,nan,nan
UD_Guajajara-TuDeT,relative,bert-base-multilingual-cased,False,True,multi,43.36,24.71,20.53,1.93,0.0,64.71,nan,54.51,nan,nan,61.7
UD_Guajajara-TuDeT,relative,bert-base-multilingual-cased,False,False,single,43.53,23.7,19.64,0.0,0.0,64.84,39.87,nan,nan,nan,nan
UD_Guajajara-TuDeT,relative,bert-base-multilingual-cased,False,False,multi,44.37,25.88,19.14,2.39,0.0,65.88,nan,54.9,nan,nan,61.31
UD_Guajajara-TuDeT,absolute,bert-base-multilingual-cased,False,True,single,42.69,17.65,15.58,1.65,0.0,64.58,39.74,nan,nan,nan,nan
UD_Guajajara-TuDeT,absolute,bert-base-multilingual-cased,False,True,multi,42.69,26.72,26.57,1.93,0.0,64.84,nan,54.38,nan,nan,61.18
UD_Guajajara-TuDeT,absolute,bert-base-multilingual-cased,False,False,single,42.69,15.8,11.67,0.44,0.0,64.18,39.08,nan,nan,nan,nan
UD_Guajajara-TuDeT,absolute,bert-base-multilingual-cased,False,False,multi,42.69,23.7,21.72,0.94,0.0,63.4,nan,52.42,nan,nan,61.31
UD_Guajajara-TuDeT,2-planar-brackets-greedy,xlm-roberta-base,False,True,single,48.74,27.9,25.19,1.5,0.0,64.44,48.1,nan,nan,nan,nan
UD_Guajajara-TuDeT,2-planar-brackets-greedy,xlm-roberta-base,False,True,multi,47.23,31.76,27.75,4.0,0.0,64.97,nan,nan,62.09,90.59,61.44
UD_Guajajara-TuDeT,2-planar-brackets-greedy,xlm-roberta-base,False,False,single,39.66,10.76,0.0,0.0,0.0,44.58,18.95,nan,nan,nan,nan
UD_Guajajara-TuDeT,2-planar-brackets-greedy,xlm-roberta-base,False,False,multi,43.87,17.31,12.84,0.45,0.0,60.52,nan,nan,37.65,74.9,41.57
UD_Guajajara-TuDeT,relative,xlm-roberta-base,False,True,single,42.86,20.17,14.18,0.26,0.0,63.14,37.65,nan,nan,nan,nan
UD_Guajajara-TuDeT,relative,xlm-roberta-base,False,True,multi,41.18,20.84,17.49,1.97,0.0,65.1,nan,53.59,nan,nan,60.26
UD_Guajajara-TuDeT,absolute,xlm-roberta-base,False,True,single,42.69,17.65,15.26,0.79,0.0,63.53,39.61,nan,nan,nan,nan
UD_Guajajara-TuDeT,relative,xlm-roberta-base,False,False,single,29.58,6.72,5.21,0.0,0.0,41.05,15.82,nan,nan,nan,nan
UD_Guajajara-TuDeT,relative,xlm-roberta-base,False,False,multi,41.68,16.81,12.4,0.23,0.0,48.5,nan,41.83,nan,nan,46.01
UD_Guajajara-TuDeT,absolute,xlm-roberta-base,False,True,multi,42.69,25.55,25.65,2.74,0.0,66.54,nan,53.73,nan,nan,58.69
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,single,14.71,5.4,6.73,0.0,0.0,45.76,28.92,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,bert-base-multilingual-cased,False,True,multi,8.77,4.86,6.97,0.0,0.0,48.78,nan,nan,50.87,92.68,38.91
UD_Skolt_Sami-Giellagas,relative,bert-base-multilingual-cased,False,True,single,13.23,5.53,3.58,0.0,0.0,48.08,18.12,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,relative,bert-base-multilingual-cased,False,True,multi,25.64,5.8,3.33,0.0,0.0,49.01,nan,35.66,nan,nan,39.84
UD_Guajajara-TuDeT,absolute,xlm-roberta-base,False,False,single,38.82,14.45,15.87,1.02,0.0,33.07,16.34,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,absolute,bert-base-multilingual-cased,False,True,single,6.48,2.56,3.09,0.0,0.0,49.36,21.37,nan,nan,nan,nan
UD_Guajajara-TuDeT,absolute,xlm-roberta-base,False,False,multi,41.01,16.47,13.08,0.26,0.0,53.07,nan,34.38,nan,nan,40.65
UD_Skolt_Sami-Giellagas,absolute,bert-base-multilingual-cased,False,True,multi,11.2,4.72,6.27,0.0,0.0,46.46,nan,24.51,nan,nan,37.28
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,single,21.19,7.56,4.06,0.0,0.0,51.45,27.06,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,bert-base-multilingual-cased,False,False,multi,6.21,3.51,2.56,0.0,0.0,52.15,nan,nan,49.48,95.35,44.37
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,xlm-roberta-base,False,True,single,5.67,2.7,3.69,0.0,0.0,49.01,26.25,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,relative,bert-base-multilingual-cased,False,False,single,25.64,8.1,6.49,0.0,0.0,51.34,14.63,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,relative,bert-base-multilingual-cased,False,False,multi,27.26,6.88,5.33,0.0,0.0,53.54,nan,32.98,nan,nan,44.95
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,xlm-roberta-base,False,True,multi,5.4,2.43,3.32,0.0,0.0,48.2,nan,nan,48.66,85.48,37.4
UD_Skolt_Sami-Giellagas,relative,xlm-roberta-base,False,True,single,11.74,4.72,3.22,0.0,0.0,46.57,16.38,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,absolute,bert-base-multilingual-cased,False,False,single,6.07,2.56,2.22,0.0,0.0,51.22,22.18,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,absolute,bert-base-multilingual-cased,False,False,multi,7.02,3.91,3.81,0.0,0.0,53.66,nan,18.35,nan,nan,44.83
UD_Skolt_Sami-Giellagas,relative,xlm-roberta-base,False,True,multi,25.64,4.45,4.17,0.0,0.0,50.06,nan,35.31,nan,nan,38.1
UD_Skolt_Sami-Giellagas,absolute,xlm-roberta-base,False,True,single,9.04,2.83,3.75,0.0,0.0,46.23,19.63,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,xlm-roberta-base,False,False,single,5.26,1.62,2.09,0.0,0.0,30.2,4.99,nan,nan,nan,nan
UD_Welsh-CCG,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,single,37.4,22.35,10.26,0.51,0.0,66.57,33.59,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,2-planar-brackets-greedy,xlm-roberta-base,False,False,multi,16.87,2.7,2.48,0.0,0.0,43.55,nan,nan,19.28,85.48,18.82
UD_Skolt_Sami-Giellagas,absolute,xlm-roberta-base,False,True,multi,6.75,3.37,4.35,0.0,0.0,46.11,nan,21.84,nan,nan,37.4
UD_Welsh-CCG,relative,bert-base-multilingual-cased,True,True,single,32.36,20.84,15.74,0.91,0.0,66.6,33.84,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,relative,xlm-roberta-base,False,False,single,12.69,5.26,3.29,0.0,0.0,37.4,7.67,nan,nan,nan,nan
UD_Welsh-CCG,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,multi,38.22,24.58,10.88,0.73,0.0,66.59,nan,nan,49.99,99.72,50.29
UD_Welsh-CCG,absolute,bert-base-multilingual-cased,True,True,single,11.92,6.08,6.56,0.58,0.0,66.05,19.67,nan,nan,nan,nan
UD_Skolt_Sami-Giellagas,relative,xlm-roberta-base,False,False,multi,5.26,1.35,1.7,0.0,0.0,38.91,nan,13.36,nan,nan,17.31
UD_Welsh-CCG,relative,bert-base-multilingual-cased,True,True,multi,31.63,18.23,12.14,0.61,0.0,66.42,nan,45.92,nan,nan,50.21
UD_Skolt_Sami-Giellagas,absolute,xlm-roberta-base,False,False,single,5.26,3.51,4.57,0.0,0.0,35.42,2.56,nan,nan,nan,nan
UD_Welsh-CCG,2-planar-brackets-greedy,xlm-roberta-base,True,True,single,34.6,20.09,10.48,0.67,0.0,64.0,32.93,nan,nan,nan,nan
UD_Welsh-CCG,absolute,bert-base-multilingual-cased,True,True,multi,12.29,7.42,9.05,0.79,0.0,66.42,nan,23.73,nan,nan,49.1
UD_Skolt_Sami-Giellagas,absolute,xlm-roberta-base,False,False,multi,8.91,2.16,3.08,0.0,0.0,19.05,nan,11.27,nan,nan,16.14
UD_Welsh-CCG,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,single,44.58,31.9,17.25,0.73,0.0,78.25,42.58,nan,nan,nan,nan
UD_Welsh-CCG,relative,xlm-roberta-base,True,True,single,31.93,19.45,13.48,0.91,0.0,64.15,32.16,nan,nan,nan,nan
UD_Welsh-CCG,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,multi,45.11,33.44,18.13,0.94,0.0,78.66,nan,nan,55.16,99.8,64.75
UD_Welsh-CCG,relative,bert-base-multilingual-cased,True,False,single,42.12,29.74,23.76,1.2,0.0,78.19,44.36,nan,nan,nan,nan
UD_Welsh-CCG,2-planar-brackets-greedy,xlm-roberta-base,True,True,multi,36.78,23.02,9.99,0.73,0.0,64.3,nan,nan,48.85,99.7,48.36
UD_Welsh-CCG,relative,bert-base-multilingual-cased,True,False,multi,45.65,30.12,22.93,1.29,0.0,78.65,nan,58.02,nan,nan,64.8
UD_Welsh-CCG,absolute,bert-base-multilingual-cased,True,False,single,10.58,5.15,4.95,0.27,0.0,77.86,18.62,nan,nan,nan,nan
UD_Welsh-CCG,absolute,xlm-roberta-base,True,True,single,12.49,6.2,7.56,0.75,0.0,63.85,19.13,nan,nan,nan,nan
UD_Welsh-CCG,relative,xlm-roberta-base,True,True,multi,31.31,16.71,10.26,0.5,0.0,63.62,nan,44.08,nan,nan,48.66
UD_Welsh-CCG,absolute,bert-base-multilingual-cased,True,False,multi,13.7,9.31,11.28,0.49,0.0,78.19,nan,22.35,nan,nan,64.03
UD_Welsh-CCG,2-planar-brackets-greedy,xlm-roberta-base,True,False,single,36.29,22.57,8.85,0.04,0.0,66.89,31.43,nan,nan,nan,nan
UD_Bulgarian-BTB,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,single,32.73,22.72,16.99,0.21,0.0,71.09,42.64,nan,nan,nan,nan
UD_Welsh-CCG,absolute,xlm-roberta-base,True,True,multi,12.29,7.12,8.97,0.64,0.0,63.46,nan,23.68,nan,nan,48.23
UD_Welsh-CCG,2-planar-brackets-greedy,xlm-roberta-base,True,False,multi,40.5,26.97,11.35,0.3,0.0,67.72,nan,nan,47.43,92.6,53.2
UD_Welsh-CCG,relative,xlm-roberta-base,True,False,single,41.21,23.79,14.01,0.14,0.0,67.0,32.23,nan,nan,nan,nan
UD_Bulgarian-BTB,relative,bert-base-multilingual-cased,True,True,single,32.96,26.85,19.24,0.3,0.0,71.07,37.15,nan,nan,nan,nan
UD_Bulgarian-BTB,2-planar-brackets-greedy,bert-base-multilingual-cased,True,True,multi,34.87,23.42,16.09,0.18,0.0,71.1,nan,nan,50.33,99.6,61.63
UD_Welsh-CCG,relative,xlm-roberta-base,True,False,multi,31.32,15.09,14.14,0.29,0.0,67.5,nan,49.63,nan,nan,53.0
UD_Welsh-CCG,absolute,xlm-roberta-base,True,False,single,11.04,4.82,4.03,0.17,0.0,66.39,17.41,nan,nan,nan,nan
UD_Bulgarian-BTB,absolute,bert-base-multilingual-cased,True,True,single,10.81,6.3,4.75,0.16,0.0,71.01,25.32,nan,nan,nan,nan
UD_Welsh-CCG,absolute,xlm-roberta-base,True,False,multi,14.61,8.44,10.59,0.22,0.0,66.45,nan,22.12,nan,nan,53.19
UD_Bulgarian-BTB,relative,bert-base-multilingual-cased,True,True,multi,33.53,23.4,13.78,0.28,0.0,71.06,nan,41.4,nan,nan,61.44
UD_Bulgarian-BTB,2-planar-brackets-greedy,bert-base-multilingual-cased,True,False,single,66.13,57.41,51.49,0.56,0.0,96.29,63.17,nan,nan,nan,nan
